Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X02896,Incident,ATL82IA218,1982-07-29,"HAMPTON, GA",United States,,,4A7,BEAR CREEK,Incident,Minor,Airplane,N714TA,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,29-07-1983
20020917X03098,Incident,CHI82IA284,1982-07-31,"OSHKOSH, WI",United States,,,OSH,WITTMAN FIELD,Incident,Minor,Airplane,N21254,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,31-07-1983
20020917X02714,Incident,ANC82IA067,1982-08-04,"NEAR BIG LAKE, AK",United States,,,,,Incident,Minor,Airplane,N70604,Piper,J-3,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,04-08-1983
20020917X03896,Incident,MKC82IA137,1982-08-05,"ST. JOSEPH, MO",United States,,,STJ,ROSECRANS MEMORIAL,Incident,Minor,Airplane,N312MA,Mitsubishi,MU-2B-25,No,2.0,Turbo Prop,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,05-08-1983
20020917X03240,Incident,DEN82IA154,1982-08-05,"DENVER, CO",United States,,,DEN,STAPLETON INTERNATIONAL,Incident,Minor,Airplane,N7356F,Boeing,737-291,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Frontier Airlines, Inc.",0.0,0.0,0.0,102.0,VMC,Takeoff,Probable Cause,05-08-1983
20020917X03897,Incident,MKC82IA138,1982-08-08,"WILSONVILLE, NE",United States,,,,,Incident,Minor,Airplane,N7043Z,Piper,PA-25-235,No,1.0,Reciprocating,Part 91: General Aviation,,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,08-08-1983
20020917X03898,Incident,MKC82IA143,1982-08-12,"NORTH PLATTE, NE",United States,,,LBF,LEE BIRD FIELD,Incident,Minor,Airplane,N7345F,Boeing,737-291,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,,0.0,0.0,33.0,0.0,IMC,Approach,Probable Cause,12-08-1983
20020917X02715,Incident,ANC82IA074,1982-08-13,"NEAR ANVIK, AK",United States,,,ANV,ANVIK,Incident,Minor,Airplane,N1717U,Cessna,207,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,13-08-1983
20020917X03513,Incident,FTW82IA331,1982-08-16,"EL PASO, TX",United States,,,ELP,EL PASO INT'L,Incident,Minor,Airplane,N1969J,Cessna,421B,No,2.0,Turbo Prop,Part 91: General Aviation,,Business,,0.0,0.0,1.0,0.0,VMC,Descent,Probable Cause,16-08-1983
20020917X03729,Incident,LAX82IA309,1982-08-21,"HONOLULU, HI",United States,,,HNL,HONOLULU,Incident,Minor,Airplane,N104WA,Mcdonnell Douglas,DC-10-30F,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"World Airways, Inc.",0.0,0.0,0.0,393.0,VMC,Takeoff,Probable Cause,21-08-1983
20020917X02897,Incident,ATL82IA245,1982-08-25,"DULUTH, GA",United States,,,17A,GWINNETT COUNTY,Incident,Minor,Airplane,N2163W,Beech,C23,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Standing,Probable Cause,25-08-1983
20020917X02716,Incident,ANC82IA076,1982-08-25,"SCAMMON BAY, AK",United States,,,SCM,SCAMMON BAY,Incident,Minor,Airplane,N3870G,Cessna,206B,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,25-08-1983
20020917X02898,Incident,ATL82IA287,1982-08-29,"BELTSVILLE, MD",United States,,,,BELTSVILLE AG CENTER,Incident,Minor,Airplane,N8245N,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,29-08-1983
